datetime_day,ADFS\BASIN_LEVEL\PROCESS_VALUE,ADFS\EFFLUENT_TSS\PROCESS_VALUE,ADFS\INFLUENT_FLOW\PROCESS_VALUE,ADFS\WASTE_FLOW\PROCESS_VALUE,ADFS\WASTE_VACUUM\PROCESS_VALUE,ADFS\CURRENT_MODE,SEPARATOR\WASTE_FLOW\PROCESS_VALUE,SEPARATOR\TANK_LEVEL\PROCESS_VALUE,SEPARATOR\CURRENT_MODE,ADFS\INFLUENT_VALVE\POSITION_FB\PROCESS_VALUE,SEPARATOR\SR_CURRENT_MODE,SEPARATOR\INFLUENT_FLOW\PROCESS_VALUE,SEPARATOR\INFLUENT_TANK_LEVEL\PROCESS_VALUE,ADFS\WASTE_PUMP_1\SPEED_OUT,ADFS\SCUM_REMOVAL_MODE,ADFS\BASIN_PH\PROCESS_VALUE,ADFS\INFLUENT_FLOW\TOTAL_FOREVER,ADFS\WASTE_TSS\PROCESS_VALUE,SEPARATOR\INFLUENT_FLOW\TOTAL_FOREVER,SEPARATOR\WASTE_FLOW\TOTAL_FOREVER,ADFS\INFLUENT_FLOW\PID\OUTPUT,ADFS\INFLUENT_TSS\PROCESS_VALUE,ADFS\INFLUENT_TURBIDITY\PROCESS_VALUE,ADFS\EFFLUENT_TURBIDITY\PROCESS_VALUE,ADFS\INHIBIT_WASTE_FLOW
2019-10-06,9.492815955363103,51.76727676,495.9991122693279,35.61593871151346,3.4040915088353976,2.2644921216349787,0,0,0,32.990564398444675,0,0,0,8.292633292633292,1.0193615907901623,5.737518059911623,141.638039503788,150,0,0,28.741031958583637,-0.29785544,126.6539212727112,52.248200401112854,0
2019-10-07,9.456595308235466,51.76727676,473.6852167032523,31.257784211397095,3.0426341309726745,2.228953488372093,0,0,0,30.94688952829244,0,0,0,7.253081395348837,1.0102325581395348,5.898134056066279,142.46202897109592,150,0,0,26.843459730568604,-0.29785544,121.68636892477268,50.31183392182151,0
2019-10-08,9.746895396424211,51.76727676,511.7902075996936,69.82439575848247,5.536431398906913,2.4404907262050117,0,0,0,33.38702893446945,0,0,0,15.353160067445781,1.021978021978022,6.00480937020757,143.3254364085906,150,0,0,29.095575810206988,-0.29785544,151.48715529904587,49.74592155699343,0
2019-10-09,8.30695562775319,51.76727676,258.0349953193801,106.4743038253413,4.9342756372842755,1.6215899777543614,0,0,0,16.760333415182647,0,0,0,42.01949420442571,1.0049174569722514,7.658236646369863,144.1484176461726,150,0,0,14.261720199513523,-0.29785544,107.04773177500995,26.883065228103852,0
2019-10-10,7.6068181721615655,51.76727676,275.17235824709275,143.63490740395144,3.185201621160346,1.2013473488588189,0,0,0,18.161819886723386,0,0,0,52.356350543004815,1,8.528748345208781,144.4368389474139,150,0,0,15.91288140631744,-0.29785544,99.09315352194379,25.370062202238806,0
2019-10-11,9.601209768673558,51.76727676,531.9230535176056,52.32491101944829,2.5967031771293336,2.4496776816307566,0,0,0,33.426597875087985,0,0,0,10.043614611766072,1.009698588768221,5.856810501407748,145.2715024804408,150,0,0,29.019060852138335,-0.29785544,147.0741416359324,46.85497381323422,0
2019-10-12,9.479125772099303,51.76727676,543.2006866518891,56.3099854551777,2.926114091730546,2.571138211382114,0,0,0,34.914696977175375,0,0,0,10.293321718931475,1.006445993031359,6.075770940465157,146.17122601432172,150,0,0,30.42224793050697,-0.29785544,159.67303682655924,54.48446319565447,0
2019-10-13,9.521898419634146,51.76727676,561.0484218097253,61.85388118335424,2.99642166380662,2.520557491289199,0,0,0,37.3273159591777,0,0,0,11.18966318234611,1.0170150987224158,6.193906515012776,147.02553234593788,150,0,0,32.6781539006266,-0.29785544,147.64944694467246,55.66414594529733,0
2019-10-14,9.522001886889482,51.76727676,536.146693419421,62.44112232234915,3.07259717197979,2.572565189616122,0,0,0,33.75828415051339,0,0,0,11.375166966722807,1.0063882920030198,6.312240047937744,141.73656504530402,150,0,0,29.391567980051686,-0.29785544,153.41546334175155,54.98897266083919,0
2019-10-15,9.464686720345549,51.76727676,521.594707119378,52.95302629091933,2.822753988889018,2.6036935942853825,0,0,0,32.934251506650796,0,0,0,9.925140832800976,1.0023810906556712,5.829386707708346,0.3547873275085661,150,0,0,28.684476960757305,-0.29785544,144.65375557793018,47.86690154423718,0
2019-10-16,9.766876713047216,51.76727676,514.0215821283692,65.4260094789982,4.472944996075266,2.7132237644462514,0,0,0,32.7230989536692,0,0,0,14.37696730356002,0.46686799465706486,5.701701824378884,0.34744510422963004,150,0,0,28.61575052260178,-0.29785544,151.9841070903438,50.283925941365354,0
2019-10-17,9.77827573696725,51.76727676,515.2244634579224,71.10897652741842,7.221493822017767,2.9150505167808616,0,0,0,33.012643526248986,0,0,0,19.048600627104864,0,5.673296231236209,0.3470093393450238,150,0,0,28.72966024006097,-0.29785544,130.38174029783474,42.545110970929045,0
